station_id,hour_timestamp,charging_sessions,total_energy_kwh,avg_energy_kwh,avg_duration_min,avg_current_a,hour,day_of_week,day_num,is_weekend
California_Garage_01,2018-05-01 00:00:00+00:00,2,18.66210472227,9.331052361135,158.25,15.862690619582079,0,Tuesday,1,False
California_Garage_01,2018-05-01 01:00:00+00:00,7,38.555354444469,6.4258924074115,96.89285714285714,19.374552627127482,1,Tuesday,1,False
California_Garage_01,2018-05-01 02:00:00+00:00,1,7.06012166667,7.06012166667,180.15,10.74302241503977,2,Tuesday,1,False
California_Garage_01,2018-05-01 03:00:00+00:00,1,6.50578138889,6.50578138889,819.1333333333333,4.779503892811879,3,Tuesday,1,False
California_Garage_01,2018-05-01 04:00:00+00:00,1,11.6642905556,11.6642905556,877.6333333333333,5.692640364188164,4,Tuesday,1,False
California_Garage_01,2018-05-01 05:00:00+00:00,1,13.9106688889,13.9106688889,586.4333333333333,13.111465295629822,5,Tuesday,1,False
California_Garage_01,2018-05-01 15:00:00+00:00,15,106.00259655721,7.066839770480667,469.7288888888889,4.075043333105331,15,Tuesday,1,False
California_Garage_01,2018-05-01 16:00:00+00:00,13,133.6397620683011,10.279981697561624,404.28333333333336,7.028021160274146,16,Tuesday,1,False
California_Garage_01,2018-05-01 17:00:00+00:00,7,44.55683532049082,6.3652621886415455,240.16190476190474,6.648311226643853,17,Tuesday,1,False
California_Garage_01,2018-05-01 18:00:00+00:00,2,11.904635277779999,5.952317638889999,460.20833333333337,4.7583907205640035,18,Tuesday,1,False
California_Garage_01,2018-05-01 19:00:00+00:00,2,16.62278972223,8.311394861115,316.18333333333334,8.65286154501622,19,Tuesday,1,False
California_Garage_01,2018-05-01 20:00:00+00:00,3,10.48586083333,3.495286944443333,366.7944444444444,3.4253972312761403,20,Tuesday,1,False
California_Garage_01,2018-05-01 23:00:00+00:00,1,6.66147277778,6.66147277778,213.98333333333332,8.39510227600115,23,Tuesday,1,False
California_Garage_01,2018-05-02 00:00:00+00:00,2,3.52433964945,1.762169824725,42.66666666666667,15.340448430368681,0,Wednesday,2,False
California_Garage_01,2018-05-02 01:00:00+00:00,3,36.98064333341,12.326881111136666,482.1000000000001,9.668195091042582,1,Wednesday,2,False
California_Garage_01,2018-05-02 02:00:00+00:00,4,37.265410339709995,9.316352584927499,273.45,15.368847361774252,2,Wednesday,2,False
California_Garage_01,2018-05-02 03:00:00+00:00,2,16.66919277776,8.33459638888,533.7083333333334,6.988424739467175,3,Wednesday,2,False
California_Garage_01,2018-05-02 04:00:00+00:00,3,21.74112444449333,7.247041481497777,206.6,14.499753355029254,4,Wednesday,2,False
California_Garage_01,2018-05-02 13:00:00+00:00,2,7.32096777778,3.66048388889,51.2,21.460027829313546,13,Wednesday,2,False
California_Garage_01,2018-05-02 14:00:00+00:00,5,52.649135795030006,10.529827159006,505.1433333333333,6.592776534613533,14,Wednesday,2,False
California_Garage_01,2018-05-02 15:00:00+00:00,17,138.13879290631,8.12581134743,482.0225490196078,5.551114591948115,15,Wednesday,2,False
California_Garage_01,2018-05-02 16:00:00+00:00,10,67.37660112064898,6.737660112064899,426.055,4.7753497570269285,16,Wednesday,2,False
California_Garage_01,2018-05-02 17:00:00+00:00,5,13.430499722244447,2.6860999444488893,132.49,3.248142917773219,17,Wednesday,2,False
California_Garage_01,2018-05-02 18:00:00+00:00,3,5.187962777773301,1.7293209259244335,343.51666666666665,1.7102272046047984,18,Wednesday,2,False
California_Garage_01,2018-05-02 19:00:00+00:00,3,13.726279166669,4.5754263888896665,124.12222222222222,8.406981593555026,19,Wednesday,2,False
California_Garage_01,2018-05-02 20:00:00+00:00,2,16.14561222219,8.072806111095,350.7583333333333,6.563748255654064,20,Wednesday,2,False
California_Garage_01,2018-05-02 22:00:00+00:00,4,32.40196777773662,8.100491944434156,332.7625,3.3157570861865917,22,Wednesday,2,False
California_Garage_01,2018-05-02 23:00:00+00:00,4,22.775550857509998,5.6938877143774995,128.87083333333334,17.111532339487034,23,Wednesday,2,False
California_Garage_01,2018-05-03 00:00:00+00:00,6,41.120067777755175,6.853344629625862,143.76944444444445,12.540368297679796,0,Thursday,3,False
California_Garage_01,2018-05-03 01:00:00+00:00,7,52.51136805559,8.751894675931666,184.08809523809524,14.665867083373948,1,Thursday,3,False
California_Garage_01,2018-05-03 02:00:00+00:00,3,28.53479638888,9.511598796293333,312.02777777777777,16.121006877635743,2,Thursday,3,False
California_Garage_01,2018-05-03 03:00:00+00:00,1,8.92942666667,8.92942666667,78.5,31.291171993911718,3,Thursday,3,False
California_Garage_01,2018-05-03 04:00:00+00:00,2,17.371267039739998,8.685633519869999,556.9,5.470747854683839,4,Thursday,3,False
