station_id,capacity,overload_percent,total_overload,marginal_benefit
California_Garage_01,5,84.4089862665714,836962,0.0
California_Garage_01,10,67.3747717710566,592404,17.034214495514803
California_Garage_01,15,51.27887592283877,401008,16.09589584821783
California_Garage_01,20,37.66769865841073,257310,13.611177264428044
California_Garage_01,25,25.13931888544892,154692,12.52837977296181
California_Garage_01,30,16.697626418988648,87472,8.441692466460271
California_Garage_01,35,10.927998729856316,42515,5.7696276891323315
California_Garage_01,40,5.6727792331507505,14489,5.255219496705566
California_Garage_01,45,1.6226085575930775,2233,4.050170675557673
California_Garage_01,50,0.009526077637532746,6,1.6130824799555448
California_Garage_01,55,0.0,0,0.009526077637532746
California_Garage_01,60,0.0,0,0.0
California_Garage_02,5,43.97699954518875,62420,0.0
California_Garage_02,10,14.924306412838673,15834,29.052693132350072
California_Garage_02,15,2.745110779026704,1799,12.179195633811968
California_Garage_02,20,0.03248651809499058,10,2.7126242609317135
California_Garage_02,25,0.0,0,0.03248651809499058
California_Garage_02,30,0.0,0,0.0
California_Garage_02,35,0.0,0,0.0
California_Garage_02,40,0.0,0,0.0
California_Garage_02,45,0.0,0,0.0
California_Garage_02,50,0.0,0,0.0
California_Garage_02,55,0.0,0,0.0
California_Garage_02,60,0.0,0,0.0
LIGO_01,5,0.0,0,0.0
LIGO_01,10,0.0,0,0.0
LIGO_01,15,0.0,0,0.0
LIGO_01,20,0.0,0,0.0
LIGO_01,25,0.0,0,0.0
LIGO_01,30,0.0,0,0.0
LIGO_01,35,0.0,0,0.0
LIGO_01,40,0.0,0,0.0
LIGO_01,45,0.0,0,0.0
LIGO_01,50,0.0,0,0.0
LIGO_01,55,0.0,0,0.0
LIGO_01,60,0.0,0,0.0
N_Wilson_Garage_01,5,31.88744658550351,8847,0.0
N_Wilson_Garage_01,10,1.015883254051439,207,30.871563331452073
N_Wilson_Garage_01,15,0.0,0,1.015883254051439
N_Wilson_Garage_01,20,0.0,0,0.0
N_Wilson_Garage_01,25,0.0,0,0.0
N_Wilson_Garage_01,30,0.0,0,0.0
N_Wilson_Garage_01,35,0.0,0,0.0
N_Wilson_Garage_01,40,0.0,0,0.0
N_Wilson_Garage_01,45,0.0,0,0.0
N_Wilson_Garage_01,50,0.0,0,0.0
N_Wilson_Garage_01,55,0.0,0,0.0
N_Wilson_Garage_01,60,0.0,0,0.0
S_Wilson_Garage_01,5,0.0,0,0.0
S_Wilson_Garage_01,10,0.0,0,0.0
S_Wilson_Garage_01,15,0.0,0,0.0
S_Wilson_Garage_01,20,0.0,0,0.0
S_Wilson_Garage_01,25,0.0,0,0.0
S_Wilson_Garage_01,30,0.0,0,0.0
S_Wilson_Garage_01,35,0.0,0,0.0
S_Wilson_Garage_01,40,0.0,0,0.0
S_Wilson_Garage_01,45,0.0,0,0.0
S_Wilson_Garage_01,50,0.0,0,0.0
S_Wilson_Garage_01,55,0.0,0,0.0
S_Wilson_Garage_01,60,0.0,0,0.0
